date,anger,sadness,joy,fear,surprise,disgust
2025-06-12,0.03295731327266124,0.14441483713438974,0.06556924043460911,0.08674789531251834,0.044583731516726545,0.03258972742713422
2025-06-13,0.037338916709918846,0.12581364990325825,0.06514202452368764,0.07953615559243435,0.038977169851931386,0.026326411776978493
2025-06-14,0.020824169888341012,0.10755762360040434,0.048894984991241675,0.09635545678326426,0.06058773371607596,0.05080676898858717
2025-06-15,0.06680233346900014,0.08892280558947226,0.049017384731670444,0.13822993584898347,0.06081942748609415,0.024779541446208114
2025-06-16,0.056263736263736264,0.12516483516483515,0.07157509157509158,0.12373626373626373,0.08219780219780219,0.026776556776556777
2025-06-17,0.029455216989843026,0.09017774699907664,0.07081024930747923,0.0788550323176362,0.035964912280701755,0.03684210526315789
2025-06-18,0.05558299560959135,0.15263635596082406,0.004464285714285714,0.07241008105369807,0.026817375886524823,0.045231762917933134
2025-06-19,0.02525252525252525,0.07676767676767676,0.051515151515151514,0.047474747474747475,0.03131313131313131,0.0404040404040404
2025-06-20,0.04751602564102564,0.1140224358974359,0.021474358974358974,0.16338141025641026,0.19671474358974358,0.01939102564102564
2025-06-21,0.09729774262646235,0.1412506178942165,0.008403361344537815,0.1916707859614434,0.07682484758609326,0.07278793870489372
2025-06-22,0.06564958908900158,0.10210701171533484,0.0215422276621787,0.09525266655009616,0.05218569680013989,0.03168386081482777
2025-06-23,0.01388888888888889,0.10972222222222222,0.08333333333333333,0.1625,0.13055555555555556,0.0
2025-06-24,0.11126228269085411,0.17936507936507934,0.11564625850340135,0.20839002267573695,0.07860922146636432,0.040060468631897196
2025-06-25,0.038950302343159486,0.13955026455026454,0.07161753590325019,0.18679138321995464,0.15710034013605442,0.017101284958427814
2025-06-26,0.08181818181818182,0.15303030303030304,0.051515151515151514,0.2727272727272727,0.11666666666666665,0.051515151515151514
2025-06-27,0.01098901098901099,0.04395604395604396,0.0,0.04395604395604396,0.03296703296703297,0.01098901098901099
2025-06-28,0.07992788461538461,0.1702724358974359,0.054086538461538464,0.18950320512820512,0.24659455128205127,0.009615384615384616
2025-06-29,0.009259259259259259,0.2222222222222222,0.018518518518518517,0.1111111111111111,0.07407407407407407,0.009259259259259259
2025-06-30,0.2092691622103387,0.10647653000594177,0.08146167557932263,0.11847890671420083,0.0964349376114082,0.1878787878787879
2025-07-01,0.016148325358851676,0.1621610845295056,0.004784688995215311,0.15259170653907494,0.08137958532695375,0.037480063795853266
2025-07-02,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667
2025-07-03,0.1114092664092664,0.12386100386100388,0.1066023166023166,0.14243243243243245,0.07416988416988417,0.24152509652509652
2025-07-04,0.09821428571428571,0.17559523809523808,0.0,0.34226190476190477,0.07738095238095238,0.05654761904761904
2025-07-05,0.0,0.3020833333333333,0.0,0.4583333333333333,0.11458333333333333,0.125
2025-07-06,0.01851851851851852,0.2611111111111111,0.08148148148148149,0.29444444444444445,0.23333333333333334,0.0
2025-07-07,0.0,0.0625,0.0625,0.0625,0.0625,0.0
2025-07-08,0.02768385460693153,0.13692589461820232,0.01257396449704142,0.15191603268526346,0.08167793744716821,0.012299239222316145
2025-07-09,0.027777777777777776,0.16944444444444445,0.0,0.41944444444444445,0.06666666666666667,0.06666666666666667
2025-07-10,0.031746031746031744,0.14370748299319727,0.1369047619047619,0.157312925170068,0.09382086167800453,0.007936507936507936
2025-07-11,0.057384070168114754,0.1805052859835456,0.05702527078890349,0.14712773394513967,0.11616704886179147,0.05290170136361613
2025-07-12,0.06861088128535968,0.21522541932290684,0.050621207130169814,0.2101345003673831,0.14886062605170744,0.03627709557220283
2025-07-13,0.07529583855205854,0.26892525293223674,0.030364152555335443,0.2834721251395193,0.21672138909153313,0.04829816480623989
2025-07-14,0.08273208273208273,0.235110205698441,0.0706646294881589,0.2017655547067312,0.09586056644880174,0.04113968819851172
2025-07-15,0.059103260869565216,0.05298913043478261,0.09646739130434782,0.12160326086956522,0.10597826086956522,0.06385869565217392
2025-07-16,0.08333333333333333,0.3055555555555555,0.0,0.3055555555555555,0.3055555555555555,0.0
2025-07-17,0.03749937057514326,0.16987698520599817,0.17433769398874083,0.2542020403436156,0.21379563330211387,0.050288276584388246
2025-07-18,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
2025-07-19,0.029166666666666664,0.2632936507936508,0.07847222222222222,0.24558531746031745,0.19558531746031743,0.08789682539682539
2025-07-20,0.0,0.0,0.0,0.0,0.0,0.0
